תאריך,יום,שעה (עגולה),מספר קו,שם הקו,route_id,כיוון,אלטרנטיבה,חברה (agency_name),סוג מסלול (route_type),עיר מוצא,תחנת מוצא,עיר יעד,תחנת יעד,כמות תחנות,אורך מסלול (קמ),זמן יציאה מתוכנן,זמן הגעה מתוכנן,משך מתוכנן (דק),משך בפועל (דק),הפרש (דק),מהירות מתוכננת (קמש),מהירות בפועל (קמש),מזהה SIRI
05/01/2024,שישי,00:00,4,מסוף רדינג/רציפים-תל אביב יפו<->מסוף הטייסים-תל אביב יפו-10,2255,1,0,דן,אוטובוס,תל אביב יפו,מסוף רדינג/רציפים,תל אביב יפו,מסוף הטייסים,33,10.605,00:00:00,00:36:59,37,44,7,17.2,14.5,58601719
05/01/2024,שישי,00:00,333,מסוף רדינג/רציפים-תל אביב יפו<->מסוף הריביירה-אשדוד-2#,95,2,#,אלקטרה אפיקים,אוטובוס,תל אביב יפו,מסוף רדינג/רציפים,אשדוד,מסוף הריביירה,65,53.851,00:00:00,01:56:36,117,87,-30,27.6,37.1,58601720
05/01/2024,שישי,00:00,566,הרכבת/סלומון-תל אביב יפו<->בית העלמין-ראש העין-20,9724,2,0,אלקטרה אפיקים,אוטובוס,תל אביב יפו,הרכבת/סלומון,ראש העין,בית העלמין,69,42.242,00:00:00,01:39:19,99,69,-30,25.6,36.7,58601721
05/01/2024,שישי,00:00,230,מסוף כרמלית/הכרמל-תל אביב יפו<->איזור התעשיה כפר סבא-כפר סבא-2#,7728,2,#,מטרופולין,אוטובוס,תל אביב יפו,מסוף כרמלית/הכרמל,כפר סבא,איזור התעשיה כפר סבא,59,30.255,00:00:00,01:36:31,97,61,-36,18.7,29.8,58601729
05/01/2024,שישי,00:00,425,מסוף עתידים-תל אביב יפו<->שדרות רחבעם זאבי-ראשון לציון-1#,10374,1,#,אגד,אוטובוס,תל אביב יפו,מסוף עתידים,ראשון לציון,שדרות רחבעם זאבי,74,29.687,00:00:00,01:43:00,103,85,-18,17.3,21.0,58601741
05/01/2024,שישי,00:00,189,מסוף קריית שרת-חולון<->מסוף עתידים-תל אביב יפו-20,9813,2,0,דן,אוטובוס,חולון,מסוף קריית שרת,תל אביב יפו,מסוף עתידים,56,21.341,00:00:00,01:07:53,68,60,-8,18.8,21.3,58601742
05/01/2024,שישי,00:00,56,מסוף רדינג/רציפים-תל אביב יפו<->מסוף יהוד/הורדה-יהוד מונוסון-13,20444,1,3,קווים,אוטובוס,תל אביב יפו,מסוף רדינג/רציפים,יהוד מונוסון,מסוף יהוד/הורדה,57,21.754,00:00:00,01:03:59,64,46,-18,20.4,28.4,58601751
05/01/2024,שישי,00:00,599,מסוף רדינג/רציפים-תל אביב יפו<->הרב עובדיה יוסף/דרך מנחם בגין-פתח תקווה-20,10498,2,0,אלקטרה אפיקים,אוטובוס,תל אביב יפו,מסוף רדינג/רציפים,פתח תקווה,הרב עובדיה יוסף/דרך מנחם בגין,65,24.677,00:05:00,01:25:15,80,65,-15,18.5,22.8,58601757
05/01/2024,שישי,00:00,222,מסוף רדינג/רציפים-תל אביב יפו<->מבוא רעות/שד. האורנים-מודיעין מכבים רעות-20,11206,2,0,קווים,אוטובוס,תל אביב יפו,מסוף רדינג/רציפים,מודיעין מכבים רעות,מבוא רעות/שד. האורנים,42,43.62,00:15:00,01:39:23,84,49,-35,31.2,53.4,58601775
05/01/2024,שישי,00:00,469,ת.מרכזית באר שבע/רציפים בינעירוני-באר שבע<->ת. רכבת תל אביב - סבידור/חנה וסע-תל אביב יפו-2#,13582,2,#,מטרופולין,אוטובוס,באר שבע,ת.מרכזית באר שבע/רציפים בינעירוני,תל אביב יפו,ת. רכבת תל אביב - סבידור/חנה וסע,29,110.53,00:15:00,02:35:59,141,115,-26,47.0,57.7,58601776
05/01/2024,שישי,00:00,231,מסוף כרמלית/הכרמל-תל אביב יפו<->איזור התעשיה כפר סבא-כפר סבא-2#,9486,2,#,מטרופולין,אוטובוס,תל אביב יפו,מסוף כרמלית/הכרמל,כפר סבא,איזור התעשיה כפר סבא,56,30.63,00:15:00,01:36:59,82,69,-13,22.4,26.6,58601784
05/01/2024,שישי,00:00,425,שדרות רחבעם זאבי-ראשון לציון<->מסוף עתידים-תל אביב יפו-2#,10375,2,#,אגד,אוטובוס,ראשון לציון,שדרות רחבעם זאבי,תל אביב יפו,מסוף עתידים,81,30.715,00:15:00,02:03:59,109,92,-17,16.9,20.0,58601791
05/01/2024,שישי,00:00,2,משמר הירדן/טורקוב-תל אביב יפו<->פרופ' ישעיהו ליבוביץ'/הרב יעקב טראב-תל אביב יפו-10,27081,1,0,דן,אוטובוס,תל אביב יפו,משמר הירדן/טורקוב,תל אביב יפו,פרופ' ישעיהו ליבוביץ'/הרב יעקב טראב,51,17.771,00:15:00,01:14:59,60,54,-6,17.8,19.7,58601792
05/01/2024,שישי,00:00,425,מסוף עתידים-תל אביב יפו<->שדרות רחבעם זאבי-ראשון לציון-1#,10374,1,#,אגד,אוטובוס,תל אביב יפו,מסוף עתידים,ראשון לציון,שדרות רחבעם זאבי,74,29.687,00:30:00,02:13:00,103,66,-37,17.3,27.0,58601802
05/01/2024,שישי,00:00,555,מסוף רדינג/רציפים-תל אביב יפו<->מסוף יהוד/הורדה-יהוד מונוסון-10,1048,1,0,קווים,אוטובוס,תל אביב יפו,מסוף רדינג/רציפים,יהוד מונוסון,מסוף יהוד/הורדה,46,18.846,00:30:00,01:26:34,57,59,2,19.8,19.2,58601804
05/01/2024,שישי,00:00,418,מסוף בית העלמין/איסוף-בת ים<->מסוף אזורי חן-תל אביב יפו-20,2949,2,0,דן,אוטובוס,בת ים,מסוף בית העלמין/איסוף,תל אביב יפו,מסוף אזורי חן,56,20.168,00:30:00,01:40:44,71,65,-6,17.0,18.6,58601805
05/01/2024,שישי,00:00,418,מסוף אזורי חן-תל אביב יפו<->מסוף בית העלמין/הורדה-בת ים-10,2948,1,0,דן,אוטובוס,תל אביב יפו,מסוף אזורי חן,בת ים,מסוף בית העלמין/הורדה,57,19.9,00:30:00,01:39:19,69,59,-10,17.3,20.2,58601806
05/01/2024,שישי,00:00,463,מסוף רדינג/רציפים-תל אביב יפו<->הרב שלמה גורן/מבטחים-גבעת שמואל-10,2950,1,0,דן,אוטובוס,תל אביב יפו,מסוף רדינג/רציפים,גבעת שמואל,הרב שלמה גורן/מבטחים,60,20.743,00:30:00,01:43:59,74,65,-9,16.8,19.1,58601807
05/01/2024,שישי,00:00,466,מסוף רדינג/רציפים-תל אביב יפו<->משה סנה/אבשלום גיסין-פתח תקווה-20,2953,2,0,דן,אוטובוס,תל אביב יפו,מסוף רדינג/רציפים,פתח תקווה,משה סנה/אבשלום גיסין,58,22.981,00:30:00,01:48:15,78,88,10,17.7,15.7,58601808
