,תאריך,יום,שעה (עגולה),מספר קו,שם הקו,כיוון,אלטרנטיבה,חברה (agency_name),סוג מסלול (route_type),עיר מוצא,תחנת מוצא,עיר יעד,תחנת יעד,כמות תחנות,אורך מסלול (קמ),זמן יציאה מתוכנן,זמן הגעה מתוכנן,משך מתוכנן (דק),משך בפועל (דק),הפרש (דק),מהירות מתוכננת (קמש),מהירות בפועל (קמש),מזהה SIRI
42336,08/01/2024,שני,13:00,301,ת.מרכזית תל אביב קומה 6/רציפים-תל אביב יפו<->ת.מרכזית אשקלון/הורדה-אשקלון-1#,1.0,#,אגד,אוטובוס,תל אביב יפו,ת.מרכזית תל אביב קומה 6/רציפים,אשקלון,ת.מרכזית אשקלון/הורדה,69.0,63.5,13:40:00,15:28:13,108,151.0,43.0,35.3,25.2,58864713
50453,09/01/2024,שלישי,04:00,19,מסוף אבי האסירים-ראשון לציון<->מסוף כרמלית/הורדה-תל אביב יפו-10,1.0,0,דן,אוטובוס,ראשון לציון,מסוף אבי האסירים,תל אביב יפו,מסוף כרמלית/הורדה,46.0,17.556,04:05:00,05:03:59,59,62.0,3.0,17.9,17.0,58913628
54996,09/01/2024,שלישי,07:00,69,ת. רכבת תל אביב- סבידור/רציפים A-תל אביב יפו<->בי''ח שיב''א/שדרות אהרון קציר-רמת גן-10,1.0,0,מטרופולין,אוטובוס,תל אביב יפו,ת. רכבת תל אביב- סבידור/רציפים A,רמת גן,בי''ח שיב''א/שדרות אהרון קציר,34.0,12.415,07:33:00,08:06:59,34,56.0,22.0,21.9,13.3,58939893
96675,11/01/2024,חמישי,10:00,125,ת.רק''ל הקוממיות/דרך בגין-בת ים<->קריית חינוך-תל אביב יפו-20,2.0,0,דן,אוטובוס,בת ים,ת.רק''ל הקוממיות/דרך בגין,תל אביב יפו,קריית חינוך,57.0,19.918,10:33:00,11:39:38,67,102.0,35.0,17.8,11.7,59185824
47044,08/01/2024,שני,18:00,171,מסוף אזורי חן-תל אביב יפו<->חניון אגד/דן שומרון-חולון-1#,1.0,#,אגד,אוטובוס,תל אביב יפו,מסוף אזורי חן,חולון,חניון אגד/דן שומרון,41.0,18.291,18:21:00,19:13:59,53,74.0,21.0,20.7,14.8,58894706
74200,10/01/2024,רביעי,07:00,53,קהילות יעקב/רבי יוסף צבי רימון-בני ברק<->ת.מרכזית תל אביב קומה 7/הורדה-תל אביב יפו-20,2.0,0,דן,אוטובוס,בני ברק,קהילות יעקב/רבי יוסף צבי רימון,תל אביב יפו,ת.מרכזית תל אביב קומה 7/הורדה,26.0,9.682,07:40:00,08:12:33,33,56.0,23.0,17.6,10.4,59053003
18075,08/01/2024,שני,09:00,412,אליהו הנביא/הרב שלמה זלמן אויערבך-בית שמש<->ת. רכבת תל אביב - סבידור/הורדה-תל אביב יפו-10,1.0,0,בית שמש אקספרס,אוטובוס,בית שמש,אליהו הנביא/הרב שלמה זלמן אויערבך,תל אביב יפו,ת. רכבת תל אביב - סבידור/הורדה,48.0,55.131,09:10:00,10:23:59,74,76.0,2.0,44.7,43.5,58721226
1673,05/01/2024,שישי,05:00,249,תחנה מרכזית כפ''ס/רציפים-כפר סבא<->מסוף כרמלית/הכרמל-תל אביב יפו-1#,1.0,#,מטרופולין,אוטובוס,כפר סבא,תחנה מרכזית כפ''ס/רציפים,תל אביב יפו,מסוף כרמלית/הכרמל,38.0,28.636,05:30:00,06:25:59,56,68.0,12.0,30.7,25.3,58611778
87295,10/01/2024,רביעי,20:00,47,מסוף רעננה/הפנינה-רעננה<->ת.מרכזית תל אביב קומה 6/הורדה-תל אביב יפו-1#,1.0,#,מטרופולין,אוטובוס,רעננה,מסוף רעננה/הפנינה,תל אביב יפו,ת.מרכזית תל אביב קומה 6/הורדה,42.0,20.613,20:40:00,21:43:59,64,51.0,-13.0,19.3,24.3,59132637
83173,10/01/2024,רביעי,15:00,5,ת. רכבת תל אביב סבידור/על פרשת דרכים-תל אביב יפו<->מסוף הלוחמים/משרד הרישוי-תל אביב יפו-10,1.0,0,דן,אוטובוס,תל אביב יפו,ת. רכבת תל אביב סבידור/על פרשת דרכים,תל אביב יפו,מסוף הלוחמים/משרד הרישוי,35.0,10.895,15:41:00,16:26:04,45,63.0,18.0,14.5,10.4,59106514
8405,06/01/2024,שבת,17:00,845,ת. מרכזית ק''ש/רציפים-קרית שמונה<->ת.מרכזית תל אביב קומה 7/הורדה-תל אביב יפו-2#,2.0,#,אגד,אוטובוס,קרית שמונה,ת. מרכזית ק''ש/רציפים,תל אביב יפו,ת.מרכזית תל אביב קומה 7/הורדה,46.0,165.993,17:00:00,19:50:00,170,187.0,17.0,58.6,53.3,58662668
63104,09/01/2024,שלישי,14:00,460,ת. רכבת תל אביב- סבידור/רציפים A-תל אביב יפו<->יוספטל-לוד-20,2.0,0,קווים,אוטובוס,תל אביב יפו,ת. רכבת תל אביב- סבידור/רציפים A,לוד,יוספטל,29.0,24.564,14:55:00,15:32:13,37,71.0,34.0,39.8,20.8,58987537
25385,08/01/2024,שני,15:00,18,ת.רכבת תל אביב - סבידור/רציפים C-תל אביב יפו<->מסוף בית העלמין/הורדה-בת ים-10,1.0,0,דן,אוטובוס,תל אביב יפו,ת.רכבת תל אביב - סבידור/רציפים C,בת ים,מסוף בית העלמין/הורדה,44.0,13.55,15:45:00,16:29:40,45,68.0,23.0,18.1,12.0,58765436
99760,11/01/2024,חמישי,13:00,40,מסוף אונברסיטת ת''א-תל אביב יפו<->ת.רק''ל הקוממיות/דרך בגין-בת ים-10,1.0,0,דן,אוטובוס,תל אביב יפו,ת. רכבת אוניברסיטה/איסוף,חולון,חניון אגד/דן שומרון,48.0,18.095,13:18:00,14:13:20,55,96.0,41.0,19.7,11.3,59204955
5562,05/01/2024,שישי,10:00,412,ת. רכבת תל אביב- סבידור/רציפים A-תל אביב יפו<->אליהו הנביא/הרב שלמה זלמן אויערבך-בית שמש-20,2.0,0,בית שמש אקספרס,אוטובוס,תל אביב יפו,ת. רכבת תל אביב- סבידור/רציפים A,בית שמש,אליהו הנביא/הרב שלמה זלמן אויערבך,52.0,55.675,10:05:00,11:22:40,78,83.0,5.0,42.8,40.2,58638242
