date,day,hour_rounded,line_num,line_name,route_id,direction,alternative,agency_name,route_type,origin_city,origin_station,destination_city,destination_station,number_of_stops,route_length_km,departure_time_planned,arrival_time_planned,duration_min_planned,duration_min_actual,duration_difference_min,speed_kmh_planned,speed_kmh_actual,SIRI_id
2024-01-05,Friday,1,466,מסוף רדינג/רציפים-תל אביב יפו<->משה סנה/אבשלום גיסין-פתח תקווה-20,2953,2,0,Dan,bus,תל אביב יפו,מסוף רדינג/רציפים,פתח תקווה,משה סנה/אבשלום גיסין,58,22.981,01:59:00,03:17:15,78,65.0,-13.0,17.7,21.2,58601979
2024-01-05,Friday,1,4,מסוף רדינג/רציפים-תל אביב יפו<->מסוף הטייסים-תל אביב יפו-10,2255,1,0,Dan,bus,תל אביב יפו,מסוף רדינג/רציפים,תל אביב יפו,מסוף הטייסים,33,10.605,01:59:00,02:35:59,37,37.0,0.0,17.2,17.2,58601982
2024-01-05,Friday,1,333,מסוף רדינג/רציפים-תל אביב יפו<->מסוף הריביירה-אשדוד-2#,95,2,#,Electra_Afikim,bus,תל אביב יפו,מסוף רדינג/רציפים,אשדוד,מסוף הריביירה,65,53.851,01:59:00,03:55:36,117,92.0,-25.0,27.6,35.1,58601983
2024-01-05,Friday,1,222,מסוף רדינג/רציפים-תל אביב יפו<->מבוא רעות/שד. האורנים-מודיעין מכבים רעות-20,11206,2,0,Kavim,bus,תל אביב יפו,מסוף רדינג/רציפים,מודיעין מכבים רעות,מבוא רעות/שד. האורנים,42,43.62,01:59:00,03:23:23,84,46.0,-38.0,31.2,56.9,58601985
2024-01-05,Friday,1,699,הרכבת/ראש פינה-תל אביב יפו<->ת. מרכזית נתניה-נתניה-2#,22058,2,#,Metropolin,bus,תל אביב יפו,הרכבת/ראש פינה,נתניה,ת. מרכזית נתניה,42,31.934,01:59:00,03:02:59,64,44.0,-20.0,29.9,43.5,58601990
2024-01-05,Friday,2,445,נתב''ג טרמינל 3/קומת תח''צ-נמל תעופה בן גוריון<->מסוף רדינג/הורדה-תל אביב יפו-20,25366,2,0,Metropolin,bus,נמל תעופה בן גוריון,נתב''ג טרמינל 3/קומת תח''צ,תל אביב יפו,מסוף רדינג/הורדה,22,24.073,02:10:00,03:01:59,52,39.0,-13.0,27.8,37.0,58601998
2024-01-05,Friday,2,469,ת.מרכזית באר שבע/רציפים בינעירוני-באר שבע<->ת. רכבת תל אביב - סבידור/חנה וסע-תל אביב יפו-2#,13582,2,#,Metropolin,bus,באר שבע,ת.מרכזית באר שבע/רציפים בינעירוני,תל אביב יפו,ת. רכבת תל אביב - סבידור/חנה וסע,29,110.53,02:15:00,04:35:59,141,116.0,-25.0,47.0,57.2,58602004
2024-01-05,Friday,2,222,מסוף רדינג/רציפים-תל אביב יפו<->מבוא רעות/שד. האורנים-מודיעין מכבים רעות-20,11206,2,0,Kavim,bus,תל אביב יפו,מסוף רדינג/רציפים,מודיעין מכבים רעות,מבוא רעות/שד. האורנים,42,43.62,02:30:00,03:54:23,84,58.0,-26.0,31.2,45.1,58602007
2024-01-05,Friday,2,469,ת. רכבת תל אביב- סבידור/רציפים A-תל אביב יפו<->ת.מרכזית באר שבע/הורדה-באר שבע-1#,13581,1,#,Metropolin,bus,תל אביב יפו,ת. רכבת תל אביב- סבידור/רציפים A,באר שבע,ת.מרכזית באר שבע/הורדה,27,108.003,02:45:00,05:07:53,143,123.0,-20.0,45.3,52.7,58602017
2024-01-05,Friday,2,445,מסוף רדינג/רציפים-תל אביב יפו<->נתב''ג טרמינל 3/קומת תח''צ-נמל תעופה בן גוריון-10,25365,1,0,Metropolin,bus,תל אביב יפו,מסוף רדינג/רציפים,נמל תעופה בן גוריון,נתב''ג טרמינל 3/קומת תח''צ,22,24.908,02:40:00,03:34:11,54,50.0,-4.0,27.7,29.9,58602018
2024-01-05,Friday,2,833,דליה/כליל החורש-נוף הגליל<->ת. רכבת תל אביב - סבידור/חנה וסע-תל אביב יפו-1#,16495,1,#,Nesiot_ve_Tayarut,bus,נוף הגליל,דליה/כליל החורש,תל אביב יפו,ת. רכבת תל אביב - סבידור/חנה וסע,29,99.341,02:45:00,04:53:41,129,92.0,-37.0,46.2,64.8,58602022
2024-01-05,Friday,2,18,מסוף בית העלמין/איסוף-בת ים<->ת. רכבת תל אביב - סבידור/חנה וסע-תל אביב יפו-20,2332,2,0,Dan,bus,בת ים,מסוף בית העלמין/איסוף,תל אביב יפו,ת. רכבת תל אביב - סבידור/חנה וסע,42,13.175,02:50:00,03:35:56,46,52.0,6.0,17.2,15.2,58602025
2024-01-05,Friday,2,10,חניון אגד/חורשת היובל-חולון<->מסוף אזורי חן-תל אביב יפו-20,2299,2,0,Dan,bus,חולון,חניון אגד/חורשת היובל,תל אביב יפו,מסוף אזורי חן,59,20.266,02:50:00,03:52:59,63,59.0,-4.0,19.3,20.6,58602030
